Date,Company,Sentiment Score
23/04/2022,ABCAPITAL,0.5
16/05/2022,ABCAPITAL,0.648
06/06/2022,ABCAPITAL,0.57655
04/07/2022,ABCAPITAL,0.5
12/08/2022,ABCAPITAL,0.5
15/09/2022,ABCAPITAL,0.7997
14/10/2022,ABCAPITAL,0.5
07/11/2022,ABCAPITAL,0.8548
14/12/2022,ABCAPITAL,0.2798
13/01/2023,ABCAPITAL,0.5
03/02/2023,ABCAPITAL,0.83525
27/03/2023,ABCAPITAL,0.5
26/04/2023,ABCAPITAL,0.41105
26/04/2023,ABCAPITAL,0.41105
02/06/2023,ABCAPITAL,0.5
30/06/2023,ABCAPITAL,0.5
02/08/2023,ABCAPITAL,0.7202
14/09/2023,ABCAPITAL,0.5
27/09/2023,ABCAPITAL,0.648
03/11/2023,ABCAPITAL,0.7202
20/12/2023,ABCAPITAL,0.5
26/12/2023,ABCAPITAL,0.5
01/02/2024,ABCAPITAL,0.5
11/03/2024,ABCAPITAL,0.5
02/04/2024,ABCAPITAL,0.648
24/04/2024,ABCAPITAL,0.5
29/05/2024,ABCAPITAL,0.5
13/07/2024,ABCAPITAL,0.625
01/08/2024,ABCAPITAL,0.7202
23/08/2024,ABCAPITAL,0.648
19/09/2024,ABCAPITAL,0.70095
31/10/2024,ABCAPITAL,0.5
19/11/2024,ABCAPITAL,0.5
13/01/2025,ABCAPITAL,0.648
03/02/2025,ABCAPITAL,0.7202
14/02/2025,ABCAPITAL,0.6366
20/03/2025,ABCAPITAL,0.648
30/03/2022,3MINDIA,0.5
12/04/2022,3MINDIA,0.81245
10/05/2022,3MINDIA,0.5
22/06/2022,3MINDIA,0.5
21/07/2022,3MINDIA,0.6591
11/08/2022,3MINDIA,0.5
26/09/2022,3MINDIA,0.648
09/11/2022,3MINDIA,0.2798
23/01/2023,3MINDIA,0.648
